Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/connect-data/service-datasets-copy-reports.md,Copy reports from other apps or workspaces - Power BI,848.0,> 365 days,2023-07-20,2023-07-20
powerbi-docs/report-server/row-level-security-report-server.md,Row-level security (RLS) in Power BI Report Server - Power BI,834.0,> 365 days,2024-01-16,2024-01-16
powerbi-docs/paginated-reports/parameters/paginated-reports-create-parameters.md,Create parameters for paginated reports in Power BI Report Builder - Power BI,834.0,> 365 days,2024-06-25,2024-06-25
powerbi-docs/create-reports/desktop-visual-elements-for-reports.md,Use visual elements to enhance Power BI reports - Power BI,832.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/report-server/upgrade.md,Upgrade Power BI Report Server - Power BI,828.0,> 365 days,2022-01-06,2022-01-06
powerbi-docs/paginated-reports/paginated-reports-faq.md,Paginated reports in Power BI: FAQ - Power BI,812.0,> 365 days,2024-10-18,
powerbi-docs/create-reports/power-bi-report-filter.md,Format filters in Power BI reports - Power BI,810.0,> 365 days,2023-01-10,2023-01-10
powerbi-docs/create-reports/service-interact-quick-report.md,"Interact with autogenerated ""quick"" reports in the Power BI service - Power BI",799.0,> 365 days,2022-09-21,2022-09-21
powerbi-docs/connect-data/service-datasets-discover-across-workspaces.md,Create reports based on semantic models from different workspaces - Power BI,788.0,> 365 days,2024-07-15,2024-07-15
powerbi-docs/collaborate-share/service-endorse-content.md,Endorse your content - Power BI,773.0,> 365 days,2024-07-23,2024-07-23
powerbi-docs/visuals/power-bi-visualization-column-chart-format-settings.md,Column chart format settings - Power BI,771.0,> 365 days,2024-10-18,
powerbi-docs/paginated-reports/parameters/report-builder-parameters.md,Report parameters in Power BI Report Builder - Power BI,761.0,> 365 days,2023-02-16,2023-02-16
powerbi-docs/developer/embedded/change-permissions.md,Edit your Microsoft Entra app's permission settings - Power BI,747.0,> 365 days,2024-10-21,2024-10-21
powerbi-docs/visuals/service-getting-started-with-color-formatting-and-axis-properties.md,Get started formatting report visualizations - Power BI,743.0,> 365 days,2023-12-19,2023-12-19
powerbi-docs/create-reports/service-insights.md,Generate data insights on your semantic model automatically - Power BI,743.0,> 365 days,2023-01-19,2023-01-19
powerbi-docs/collaborate-share/dynamic-subscriptions.md,Create a dynamic subscription for a paginated report - Power BI,738.0,> 365 days,2024-01-08,2024-01-08
powerbi-docs/transform-model/desktop-data-categorization.md,Data categorization in Power BI Desktop - Power BI,729.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/connect-data/desktop-connect-to-web.md,Connect to a webpage from Power BI Desktop - Power BI,724.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/connect-data/desktop-python-ide.md,Use an external Python IDE with Power BI - Power BI,722.0,> 365 days,2023-01-12,2023-01-12
powerbi-docs/developer/visuals/custom-visual-licenses.md,License models for Power BI AppSource visuals - Power BI,712.0,> 365 days,2024-06-05,2024-06-05
powerbi-docs/connect-data/service-comma-separated-value-files.md,Get data from comma separated value (CSV) files - Power BI,705.0,> 365 days,2024-01-17,2024-01-17
powerbi-docs/connect-data/desktop-analysis-services-tabular-data.md,Connect to Analysis Services data in Power BI Desktop - Power BI,696.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/connect-data/service-admin-troubleshooting-power-bi-personal-gateway.md,Troubleshoot Power BI gateway (personal mode) - Power BI,689.0,> 365 days,2024-05-28,2024-05-28
powerbi-docs/paginated-reports/parameters/pass-report-parameter-url.md,Pass a report parameter within a URL for a Power BI paginated report - Power BI,686.0,> 365 days,2023-01-25,2023-01-25
powerbi-docs/connect-data/service-connect-to-services.md,Connect to the services you use with Power BI - Power BI,675.0,> 365 days,2024-07-26,2024-07-26
powerbi-docs/collaborate-share/service-share-reports.md,Share a filtered Power BI report - Power BI,657.0,> 365 days,2023-06-22,2023-06-22
powerbi-docs/transform-model/desktop-measure-copilot-descriptions.md,Use Copilot to create measure descriptions - Power BI,640.0,> 365 days,2024-04-10,2024-04-10
powerbi-docs/natural-language/q-and-a-tooling-intro.md,Intro to Q&A tooling to train Power BI Q&A (preview) - Power BI,638.0,> 365 days,2023-11-02,2023-11-02
powerbi-docs/connect-data/real-time-intelligence-sample.md,Try a Real-Time Intelligence sample - Power BI,625.0,> 365 days,2024-09-19,2024-09-19
powerbi-docs/report-server/install-report-builder.md,Install Microsoft Report Builder - Power BI Report Server - Power BI,624.0,> 365 days,2023-01-19,2023-01-19
powerbi-docs/developer/visuals/power-bi-custom-visuals-organization.md,Organization visuals in Power BI - Power BI,623.0,> 365 days,2024-02-27,2024-02-27
powerbi-docs/create-reports/power-bi-create-mobile-optimized-report-order-layers.md,Rearrange visual layering - Power BI,619.0,> 365 days,2024-07-26,2024-07-26
powerbi-docs/developer/visuals/about-dialog.md,Power BI visuals About dialog - Power BI,616.0,> 365 days,2024-07-15,2024-07-15
powerbi-docs/report-server/microsoft-entra-application-proxy.md,Configure Power BI Report Server with Microsoft Entra application proxy - Power BI,610.0,> 365 days,2024-07-18,2024-07-18
powerbi-docs/report-server/developer-handbook-overview.md,"Developer handbook overview, Power BI Report Server - Power BI",607.0,> 365 days,2017-11-01,2017-11-01
powerbi-docs/paginated-reports/paginated-reports-data-sources.md,Supported data sources for Power BI paginated reports - Power BI,604.0,> 365 days,2024-08-26,2024-08-26
powerbi-docs/create-reports/service-add-hyperlink-to-text-box.md,Add a hyperlink to a text box in a report - Power BI,603.0,> 365 days,2024-06-21,2024-06-21
powerbi-docs/connect-data/service-gateway-enterprise-manage-sql.md,Manage a SQL Server data source - Power BI,598.0,> 365 days,2024-06-28,2024-06-28
powerbi-docs/developer/visuals/create-react-visual.md,Create a React-based visual for Power . - Power BI,597.0,> 365 days,2024-10-12,2024-10-12
powerbi-docs/create-reports/service-report-create-new.md,Create a report from an Excel file in the Power BI service  - Power BI,595.0,> 365 days,2023-04-03,2023-04-03
