Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/visuals/power-bi-visualization-radial-gauge-charts.md,Radial gauge charts in Power BI - Power BI,1929.0,> 365 days,2023-12-25,
powerbi-docs/guidance/power-query-folding.md,Query folding guidance in Power BI Desktop - Power BI,1912.0,271-365 days,2024-12-30,
powerbi-docs/create-reports/service-dashboard-themes.md,Use dashboard themes in the Power BI service - Power BI,1868.0,> 365 days,2024-06-21,
powerbi-docs/connect-data/service-gateway-custom-connectors.md,Use custom data connectors with the on-premises data gateway - Power BI,1866.0,> 365 days,2023-02-13,
powerbi-docs/developer/visuals/licensing-faq.md,Frequently asked questions about Custom visual license management - Power BI,1842.0,> 365 days,2024-07-25,
powerbi-docs/create-reports/power-bi-personalize-visuals.md,Let users personalize visuals in a report - Power BI,1842.0,> 365 days,2023-03-01,
powerbi-docs/connect-data/create-dataset-sharepoint-online-list.md,Create a semantic model from a SharePoint List - Power BI,1797.0,> 365 days,2023-02-22,
powerbi-docs/paginated-reports/paginated-reports-samples.md,Sample Power BI paginated reports - Power BI,1763.0,> 365 days,2022-10-27,
powerbi-docs/natural-language/q-and-a-intro.md,Learn how to use natural language to explore data with Power BI Q&A - Power BI,1746.0,> 365 days,2023-09-12,
powerbi-docs/transform-model/log-analytics/desktop-log-analytics-overview.md,Using Azure Log Analytics in Power BI - Power BI,1734.0,> 365 days,2024-08-04,
powerbi-docs/transform-model/desktop-modeling-view.md,Use Model view in Power BI Desktop - Power BI,1720.0,> 365 days,2024-09-03,
powerbi-docs/connect-data/service-live-connect-dq-datasets.md,What's the difference between live connections and DirectQuery? - Power BI,1707.0,> 365 days,2024-05-13,
powerbi-docs/developer/embedded/generate-embed-token.md,Generate an embed token in Power BI embedded analytics - Power BI,1675.0,271-365 days,2025-01-02,
powerbi-docs/consumer/end-user-q-and-a.md,Q&A for Power BI business users - Power BI,1670.0,271-365 days,2025-01-10,
powerbi-docs/visuals/power-bi-line-chart.md,Create line charts in Power BI - Power BI,1649.0,> 365 days,2023-07-14,
powerbi-docs/visuals/paginated-report-visual.md,Create and use the paginated report visual - Power BI,1634.0,> 365 days,2023-09-07,
powerbi-docs/guidance/directquery-model-guidance.md,DirectQuery model guidance in Power BI Desktop - Power BI,1633.0,271-365 days,2024-12-30,
powerbi-docs/collaborate-share/service-flow-integration.md,Integrate Power BI data alerts with Power Automate - Power BI,1627.0,> 365 days,2022-12-14,
powerbi-docs/visuals/power-bi-visualization-matrix-visual-format-settings.md,Matrix visual format settings - Power BI,1611.0,> 365 days,2024-10-18,
powerbi-docs/create-reports/buttons-apply-all-clear-all-slicers.md,Create Apply all and Clear all slicers buttons in reports - Power BI,1608.0,271-365 days,2024-12-06,
powerbi-docs/create-reports/power-bi-sparklines-tables.md,Create sparklines in a table or matrix in a report - Power BI,1605.0,> 365 days,2024-06-21,
powerbi-docs/developer/embedded.md,Power BI embedded analytics documentation - Power BI,1596.0,> 365 days,,
powerbi-docs/visuals/power-bi-visualization-powerapp.md,Embed a new Power App in a Power BI Report. - Power BI,1582.0,> 365 days,2024-02-08,
powerbi-docs/create-reports/service-aggregates.md,"Work with aggregates (sum, average, and so on) in Power BI - Power BI",1564.0,> 365 days,2022-08-03,
powerbi-docs/collaborate-share/service-collaborate-microsoft-teams.md,"Collaborate with Power BI in Microsoft Teams, Outlook, and Office - Power BI",1548.0,> 365 days,2023-03-01,
powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-enterprise-bi.md,Power BI usage scenarios: Enterprise BI - Power BI,1542.0,271-365 days,2024-12-30,
powerbi-docs/consumer/end-user-workspaces.md,How content is organized in workspaces - Power BI,1499.0,271-365 days,2025-01-11,
powerbi-docs/collaborate-share/end-user-powerpoint.md,Export entire reports to PowerPoint - Power BI,1487.0,271-365 days,2024-11-05,
powerbi-docs/visuals/desktop-ribbon-charts.md,Use ribbon charts in Power BI - Power BI,1480.0,> 365 days,2023-07-25,
powerbi-docs/collaborate-share/service-dataset-external-org-share-provider.md,Use Power BI in-place semantic model sharing (preview) to share semantic models with external users - data provider - Power BI,1470.0,> 365 days,2022-09-21,
powerbi-docs/natural-language/power-bi-tutorial-q-and-a.md,Explore and create visuals in your reports using Power BI Q&A - Power BI,1449.0,> 365 days,2024-06-21,
powerbi-docs/consumer/end-user-dashboard-open.md,View a Power BI dashboard - Power BI,1444.0,271-365 days,2025-01-06,
powerbi-docs/transform-model/datamarts/datamarts-overview.md,Introduction to datamarts - Power BI,1439.0,> 365 days,2024-04-02,
powerbi-docs/guidance/relationships-active-inactive.md,Active vs inactive relationship guidance - Power BI,1438.0,271-365 days,2024-12-27,
powerbi-docs/consumer/end-user-personalize-visuals.md,Personalize visuals in a report - Power BI,1437.0,271-365 days,2024-11-12,
powerbi-docs/developer/embedded/embed-tokens.md,Permission tokens needed to embed a Power BI app - Power BI,1428.0,> 365 days,2024-10-10,
powerbi-docs/report-server/quickstart-create-powerbi-report.md,Create a Power BI report for Power BI Report Server - Power BI,1415.0,> 365 days,2020-07-24,
powerbi-docs/consumer/end-user-comment.md,Add comments to dashboards and reports - Power BI,1408.0,271-365 days,2025-01-06,
powerbi-docs/developer/embedded/embedded-faq.md,Frequently asked questions about Power BI embedded analytics - Power BI,1403.0,> 365 days,2024-06-03,
powerbi-docs/visuals/power-bi-visualization-treemaps.md,Treemaps in Power BI - Power BI,1400.0,> 365 days,2023-12-25,
powerbi-docs/report-server/system-requirements.md,Hardware and software requirements for installing Power BI Report Server - Power BI,1384.0,> 365 days,2023-02-14,
powerbi-docs/connect-data/service-gateway-enterprise-manage-ssas.md,Manage SQL Server Analysis Services data sources - Power BI,1380.0,271-365 days,2024-12-10,
powerbi-docs/connect-data/service-gateway-deployment-guidance.md,Guidance for deploying a data gateway for the Power BI service - Power BI,1364.0,> 365 days,2024-05-23,
powerbi-docs/connect-data/service-datasets-rename.md,New name for Power BI datasets - Power BI,1339.0,> 365 days,2023-11-14,
powerbi-docs/collaborate-share/power-bi-dynamic-report-subscriptions.md,Create a dynamic subscription for a Power BI report - Power BI,1338.0,> 365 days,2024-01-09,
powerbi-docs/create-reports/desktop-evaluation-configuration.md,Evaluation configuration settings for Desktop - Power BI,1331.0,> 365 days,2022-08-13,
powerbi-docs/transform-model/dataflows/dataflows-configure-consume.md,Configure and consume a dataflow - Power BI,1315.0,> 365 days,2024-02-02,
powerbi-docs/developer/visuals/samples.md,Examples of Power BI visuals - Power BI,1312.0,> 365 days,2024-10-13,
powerbi-docs/guidance/powerbi-implementation-planning-data-gateways.md,Power BI implementation planning: Data gateways - Power BI,1309.0,271-365 days,2024-12-30,
powerbi-docs/create-reports/power-bi-reports-add-text-and-shapes.md,"Add text, shapes, and smart narrative visuals to reports - Power BI",1304.0,271-365 days,2025-01-21,
powerbi-docs/developer/visuals/visual-project-structure.md,Power BI visual project structure - Power BI,1293.0,> 365 days,2024-06-09,
powerbi-docs/developer/embedded/create-an-azure-active-directory-tenant.md,Create a Microsoft Entra tenant for Power BI embedded - Power BI,1293.0,271-365 days,2025-01-19,
powerbi-docs/consumer/end-user-focus.md,Focus mode and View mode - how to zoom in to see more detail - Power BI,1288.0,271-365 days,2025-01-07,
powerbi-docs/guidance/center-of-excellence-business-intelligence-solution-architecture.md,BI solution architecture in the Center of Excellence - Power BI,1283.0,271-365 days,2024-12-30,
powerbi-docs/report-server/install-powerbi-desktop.md,Install Power BI Desktop for Power BI Report Server - Power BI,1271.0,> 365 days,2023-05-24,
powerbi-docs/visuals/power-bi-visualization-funnel-charts.md,Create and use funnel charts in Power BI - Power BI,1265.0,> 365 days,2023-07-28,
powerbi-docs/visuals/power-bi-visualization-q-and-a.md,Create a Q&A visual in a report - Power BI,1263.0,> 365 days,2023-09-28,
powerbi-docs/developer/embedded/move-to-production.md,Move your Power BI embedded analytics app to production - Power BI,1262.0,> 365 days,2024-01-20,
powerbi-docs/consumer/end-user-report-filter.md,Tour the report Filters pane - Power BI,1226.0,271-365 days,2025-01-09,
powerbi-docs/guidance/powerbi-implementation-planning-introduction.md,Power BI implementation planning - Power BI,1208.0,271-365 days,2024-12-30,
powerbi-docs/developer/embedded/export-paginated-report.md,Export Power BI embedded analytics paginated reports API - Power BI,1192.0,271-365 days,2024-12-23,
powerbi-docs/troubleshoot.md,Power BI known issues and troubleshooting - Power BI,1190.0,> 365 days,2024-02-13,
